2021-08-16 10:59:01,890 204006   1629125941	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_outRate.mean_rate	1.2777067196163225E-7
2021-08-16 10:59:01,942 204058   1629125941	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_inRate.count     	120
2021-08-16 10:59:01,943 204059   1629125941	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_inRate.mean_rate 	6.666421520681482E-7
2021-08-16 10:59:01,943 204059   1629125941	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_outRate.count    	0
2021-08-16 10:59:01,943 204059   1629125941	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_outRate.mean_rate	0.0
2021-08-16 10:59:02,118 204234   1629125942	pi3-r1-m2-l5-p1.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:febd:ecf0:35832=9}, messageBytes={7-3=720}}
2021-08-16 10:59:02,118 204234   1629125942	pi3-r1-m2-l5-p1.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=3390, sys-ms=2330}
2021-08-16 10:59:02,192 204308   1629125942	pi3-r1-m2-l1-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fe3b:89c9:34584=9, /fd65:aeb8:64e2:a7c:ba27:ebff:fefb:438:38494=37}, messageBytes={9-6=11201, 3-6=1827}}
2021-08-16 10:59:02,192 204308   1629125942	pi3-r1-m2-l1-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=4090, sys-ms=2220}
2021-08-16 10:59:02,211 204327   1629125942	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_inRate.count     	332
2021-08-16 10:59:02,213 204329   1629125942	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_inRate.mean_rate 	1.8443758979682798E-6
2021-08-16 10:59:02,213 204329   1629125942	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_outRate.count    	332
2021-08-16 10:59:02,215 204331   1629125942	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_outRate.mean_rate	1.8443769321949468E-6
2021-08-16 10:59:02,449 204565   1629125942	pi3-r1-m2-l2-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fea1:1d8e:40708=24, /fd65:aeb8:64e2:a7c:ba27:ebff:fe68:e899:55262=87}, messageBytes={5-9=1920, 8-9=17658}}
2021-08-16 10:59:02,450 204566   1629125942	pi3-r1-m2-l2-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=4560, sys-ms=2300}
2021-08-16 10:59:02,461 204577   1629125942	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_inRate.count     	235
2021-08-16 10:59:02,462 204578   1629125942	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_inRate.mean_rate 	1.3055002915378752E-6
